time,g,°C,rssi
12/14/2020  9:12:36 PM,0.158,25,-64
12/14/2020  9:12:32 PM,0.048,25,-61
12/14/2020  9:12:28 PM,0.15,25,-63.5
12/14/2020  9:12:26 PM,0.035,25,-63.5
12/14/2020  9:12:17 PM,0.136,25,-62
12/14/2020  9:12:16 PM,0.245,25,-64.5
12/14/2020  9:12:15 PM,0.468,25,-64
12/14/2020  9:12:14 PM,0.98,25,-65.5
12/14/2020  9:11:38 PM,0.122,25,-65
12/14/2020  9:11:35 PM,0.313,25,-55.5
12/14/2020  9:10:17 PM,0.077,25,-65.5
12/14/2020  9:10:15 PM,0.2,25,-65
12/14/2020  9:10:13 PM,0.427,25,-66
12/14/2020  9:10:06 PM,0.056,25,-65.5
12/14/2020  9:10:03 PM,0.181,25,-64.5
12/14/2020  9:10:02 PM,0.352,25,-62.5
12/14/2020  9:09:51 PM,0.072,25,-66
12/14/2020  9:09:50 PM,0.181,25,-66.5
12/14/2020  9:09:34 PM,0.05,25,-66.5
12/14/2020  9:09:30 PM,0.152,25,-64
12/14/2020  9:09:20 PM,0.047,25,-65.5
12/14/2020  9:09:17 PM,0.15,25,-64.5
12/14/2020  9:09:16 PM,0.305,25,-65.5
12/14/2020  9:09:12 PM,0.088,25,-63
12/14/2020  9:09:04 PM,0.207,25,-62
12/14/2020  9:08:56 PM,0.046,25,-63.5
12/14/2020  9:08:47 PM,0.167,25,-62
12/14/2020  9:08:36 PM,0.027,25,-61.5
12/14/2020  9:08:27 PM,0.133,25,-57
12/14/2020  9:08:26 PM,0.262,25,-58
12/14/2020  9:08:01 PM,0.088,25,-64
12/14/2020  9:07:59 PM,0.201,25,-64
12/14/2020  9:07:28 PM,0.093,25,-64
12/14/2020  9:07:27 PM,0.207,25,-63.5
12/14/2020  9:07:05 PM,0.103,25,-57.5
12/14/2020  9:06:50 PM,0.032,25,-60.5
12/14/2020  9:06:37 PM,0.135,25,-57
12/14/2020  9:06:36 PM,0.323,25,-64
12/14/2020  9:06:28 PM,0.046,25,-63.5
12/14/2020  9:06:20 PM,0.151,25,-62.5
12/14/2020  9:06:18 PM,0.313,25,-59.5
12/14/2020  9:06:12 PM,0.237,25,-64.5
12/14/2020  9:05:47 PM,0.086,25,-64
12/14/2020  9:05:45 PM,0.242,25,-63
12/14/2020  9:05:43 PM,0.513,25,-61
12/14/2020  9:05:35 PM,0.068,25,-59
12/14/2020  9:05:31 PM,0.172,25,-63
12/14/2020  9:05:30 PM,0.293,25,-63.5
12/14/2020  9:05:23 PM,0.088,25,-65
12/14/2020  9:05:21 PM,0.213,25,-60.5
12/14/2020  9:05:16 PM,0.112,25,-59.5
12/14/2020  9:05:15 PM,0.24,25,-62
12/14/2020  9:05:14 PM,0.567,25,-60
12/14/2020  9:05:09 PM,0.068,25,-60.5
12/14/2020  9:05:07 PM,0.197,25,-60.5
12/14/2020  9:05:06 PM,0.073,25,-63
12/14/2020  9:05:04 PM,0.188,25,-61
12/14/2020  9:05:03 PM,0.36,25,-60
12/14/2020  9:05:02 PM,0.251,25,-63
12/14/2020  9:04:47 PM,0.09,25,-62
12/14/2020  9:04:46 PM,0.211,25,-59
12/14/2020  9:04:34 PM,0.098,25,-63
12/14/2020  9:04:32 PM,0.22,25,-63
12/14/2020  9:04:31 PM,0.403,25,-63
12/14/2020  9:04:12 PM,0.073,25,-60.5
12/14/2020  9:04:10 PM,0.227,25,-63.5
12/14/2020  9:04:09 PM,0.361,25,-62.5
12/14/2020  9:04:06 PM,0.208,25,-60.5
12/14/2020  9:03:42 PM,0.073,25,-62
12/14/2020  9:03:40 PM,0.193,25,-61.5
12/14/2020  9:03:39 PM,0.493,25,-61
12/14/2020  9:03:31 PM,0.032,25,-62
12/14/2020  9:03:20 PM,0.136,25,-60
12/14/2020  9:03:18 PM,0.305,25,-61.5
12/14/2020  9:03:10 PM,0.133,25,-64
12/14/2020  9:03:08 PM,0.465,25,-63
12/14/2020  9:03:06 PM,1.423,25,-57
12/14/2020  9:03:05 PM,0.943,25,-58.5
12/14/2020  9:03:04 PM,1.133,25,-63
12/14/2020  9:02:23 PM,0.085,25,-58.5
12/14/2020  9:02:21 PM,0.213,25,-64
12/14/2020  9:02:20 PM,0.335,25,-62.5
12/14/2020  9:02:00 PM,0.041,25,-70.5
12/14/2020  9:01:49 PM,0.145,25,-65
12/14/2020  9:01:46 PM,0.341,25,-63
12/14/2020  9:01:43 PM,0.19,25,-61
12/14/2020  9:01:29 PM,0.035,25,-63.5
12/14/2020  9:01:25 PM,0.141,25,-65.5
12/14/2020  9:01:24 PM,0.247,25,-66
12/14/2020  9:01:21 PM,0.715,25,-66
12/14/2020  9:01:20 PM,1.581,25,-59
12/14/2020  9:01:19 PM,2.7,25,-60
12/14/2020  9:01:07 PM,0.068,25,-62.5
12/14/2020  9:01:05 PM,0.192,25,-65
12/14/2020  9:01:03 PM,0.358,25,-66.5
12/14/2020  9:00:14 PM,0.042,25,-66
12/14/2020  9:00:07 PM,0.148,25,-62.5
12/14/2020  8:59:27 PM,0.04,25,-60.5
12/14/2020  8:59:22 PM,0.143,25,-58
12/14/2020  8:59:21 PM,0.335,25,-64.5
12/14/2020  8:59:18 PM,0.187,25,-62.5
12/14/2020  8:59:17 PM,0.53,25,-66
12/14/2020  8:59:10 PM,0.053,25,-63
12/14/2020  8:59:07 PM,0.167,25,-63
12/14/2020  8:59:06 PM,0.323,25,-61
12/14/2020  8:58:56 PM,0.068,25,-60.5
12/14/2020  8:58:53 PM,0.275,25,-63.5
12/14/2020  8:58:52 PM,0.483,25,-61.5
