time,g avg,g high,g low,°C avg,°C high,°C low,sample qty,rssi avg,rssi high,rssi low
1/15/2021  6:00:00 PM,0.038,0.063,0.031,24,24,23,29,-64,-59.5,-67.5
1/15/2021  5:00:00 PM,0.037,0.048,0.017,24,24,23,28,-65,-58.5,-67
1/15/2021  4:00:00 PM,0.322,3.956,0.023,23,24,23,193,-64,-58,-68.5
1/15/2021  3:00:00 PM,0.04,0.056,0.026,24,24,23,30,-63,-57.5,-65.5
1/15/2021  2:00:00 PM,0.327,3.515,0.023,23,23,22,278,-64,-56.5,-70.5
1/15/2021  1:00:00 PM,0.349,3.667,0.02,22,23,21,574,-64,-56.5,-76.5
1/15/2021  12:00:00 PM,0.386,6.828,0.023,23,23,22,215,-63,-54,-70.5
1/15/2021  11:00:00 AM,0.235,1.725,0.022,23,23,23,106,-61,-55.5,-65
1/15/2021  10:00:00 AM,0.038,0.061,0.021,23,24,23,30,-62,-56,-64.5
1/15/2021  9:00:00 AM,0.037,0.047,0.018,24,24,23,30,-62,-58.5,-66
1/15/2021  8:00:00 AM,0.038,0.052,0.027,23,24,22,30,-63,-59.5,-64.5
1/15/2021  7:00:00 AM,0.037,0.051,0.022,23,23,22,28,-63,-56.5,-65.5
1/15/2021  6:00:00 AM,0.036,0.048,0.018,23,23,23,29,-63,-58,-65.5
1/15/2021  5:00:00 AM,0.037,0.051,0.023,23,23,23,30,-62,-57.5,-65
1/15/2021  4:00:00 AM,0.037,0.052,0.026,23,23,23,30,-62,-55.5,-65.5
1/15/2021  3:00:00 AM,0.038,0.053,0.023,23,23,23,30,-62,-55.5,-64.5
1/15/2021  2:00:00 AM,0.039,0.051,0.028,23,23,23,30,-62,-58,-65.5
1/15/2021  1:00:00 AM,0.037,0.056,0.027,23,24,23,29,-62,-55.5,-64.5
1/15/2021  12:00:00 AM,0.037,0.05,0.026,23,24,23,29,-63,-58,-66.5
1/14/2021  11:00:00 PM,0.036,0.056,0.025,23,23,23,30,-63,-57.5,-66
1/14/2021  10:00:00 PM,0.039,0.051,0.023,23,24,23,29,-62,-57.5,-65.5
1/14/2021  9:00:00 PM,0.036,0.052,0.013,23,24,23,30,-62,-57.5,-65.5
1/14/2021  8:00:00 PM,0.036,0.06,0.023,23,24,23,30,-62,-55,-64.5
1/14/2021  7:00:00 PM,0.347,7.068,0.023,23,24,23,479,-60,-50.5,-67.5
1/14/2021  6:00:00 PM,0.321,3.786,0.02,23,25,23,281,-59,-51.5,-67
1/14/2021  5:00:00 PM,0.093,1.066,0.023,25,25,24,36,-59,-53,-63.5
1/14/2021  4:00:00 PM,0.037,0.053,0.023,25,25,24,30,-59,-54,-63
1/14/2021  3:00:00 PM,0.32,2.89,0.026,23,24,23,135,-59,-52.5,-65.5
1/14/2021  2:00:00 PM,0.039,0.051,0.027,23,23,22,30,-59,-53.5,-62.5
1/14/2021  1:00:00 PM,0.039,0.052,0.025,23,24,22,29,-58,-53,-63
1/14/2021  12:00:00 PM,0.339,3.627,0.02,23,24,23,213,-59,-52.5,-63.5
1/14/2021  11:00:00 AM,0.249,3.307,0.022,24,25,24,140,-59,-50.5,-68
1/14/2021  10:00:00 AM,0.036,0.048,0.022,24,25,24,30,-59,-53.5,-63
1/14/2021  9:00:00 AM,0.038,0.047,0.021,23,25,22,29,-59,-51,-62.5
1/14/2021  8:00:00 AM,0.036,0.05,0.02,22,24,20,30,-59,-52,-62.5
1/14/2021  7:00:00 AM,0.036,0.053,0.023,24,25,22,30,-59,-52,-63
1/14/2021  6:00:00 AM,0.037,0.052,0.025,24,25,24,30,-58,-52.5,-62.5
1/14/2021  5:00:00 AM,0.035,0.048,0.025,24,25,24,29,-59,-52.5,-63
1/14/2021  4:00:00 AM,0.039,0.056,0.026,24,25,24,30,-58,-51,-62.5
1/14/2021  3:00:00 AM,0.039,0.06,0.027,24,25,24,29,-59,-52.5,-63
1/14/2021  2:00:00 AM,0.04,0.053,0.027,25,25,24,30,-60,-53,-63
1/14/2021  1:00:00 AM,0.035,0.055,0.022,25,25,24,30,-58,-52.5,-63
1/14/2021  12:00:00 AM,0.037,0.051,0.025,25,25,24,29,-58,-51.5,-63
1/13/2021  11:00:00 PM,0.037,0.047,0.02,25,25,24,30,-58,-53.5,-62.5
1/13/2021  10:00:00 PM,0.039,0.053,0.028,25,25,24,30,-59,-53,-63.5
1/13/2021  9:00:00 PM,0.04,0.056,0.026,25,25,24,30,-58,-53.5,-62.5
1/13/2021  8:00:00 PM,0.038,0.053,0.025,25,25,25,30,-60,-51,-63
1/13/2021  7:00:00 PM,0.038,0.051,0.025,25,25,25,30,-59,-54,-63
1/13/2021  6:00:00 PM,0.039,0.053,0.02,25,26,25,30,-59,-55,-63
1/13/2021  5:00:00 PM,0.293,3.641,0.022,26,26,25,128,-60,-50.5,-63.5
1/13/2021  4:00:00 PM,0.3,2.981,0.02,25,26,25,260,-59,-47.5,-66
1/13/2021  3:00:00 PM,0.323,2.945,0.026,25,25,24,272,-59,-47.5,-64
1/13/2021  2:00:00 PM,0.037,0.063,0.027,25,25,24,30,-59,-54,-62.5
1/13/2021  1:00:00 PM,0.094,1.197,0.025,25,25,25,33,-58,-53.5,-62.5
1/13/2021  12:00:00 PM,0.365,4.067,0.018,25,26,25,276,-59,-51,-66.5
1/13/2021  11:00:00 AM,0.347,3.665,0.021,25,26,25,337,-59,-50,-65
1/13/2021  10:00:00 AM,0.037,0.056,0.021,25,26,25,30,-59,-53,-61
1/13/2021  9:00:00 AM,0.036,0.051,0.026,25,26,25,30,-58,-53,-61
1/13/2021  8:00:00 AM,0.035,0.045,0.021,25,25,24,30,-57,-51,-60.5
1/13/2021  7:00:00 AM,0.041,0.14,0.023,25,25,25,31,-59,-53,-62.5
1/13/2021  6:00:00 AM,0.035,0.052,0.017,25,25,25,29,-58,-52.5,-62
1/13/2021  5:00:00 AM,0.038,0.058,0.025,25,25,25,30,-59,-53,-61.5
1/13/2021  4:00:00 AM,0.037,0.052,0.025,25,25,25,30,-58,-50.5,-62
1/13/2021  3:00:00 AM,0.039,0.056,0.026,25,25,25,30,-59,-53.5,-62
1/13/2021  2:00:00 AM,0.037,0.055,0.023,25,25,25,30,-59,-53.5,-62.5
1/13/2021  1:00:00 AM,0.036,0.047,0.021,25,25,25,30,-58,-50,-62.5
1/13/2021  12:00:00 AM,0.037,0.051,0.023,25,25,25,30,-59,-54,-62.5
1/12/2021  11:00:00 PM,0.038,0.05,0.025,25,25,25,29,-59,-53.5,-62.5
1/12/2021  10:00:00 PM,0.036,0.051,0.018,25,25,25,30,-58,-53.5,-61
1/12/2021  9:00:00 PM,0.038,0.051,0.027,25,25,25,30,-57,-51.5,-61
1/12/2021  8:00:00 PM,0.303,5.632,0.023,25,25,25,393,-59,-52.5,-64.5
1/12/2021  7:00:00 PM,0.296,3.372,0.025,25,25,25,420,-60,-51.5,-64.5
1/12/2021  6:00:00 PM,0.039,0.048,0.027,25,25,25,30,-58,-53.5,-60
1/12/2021  5:00:00 PM,0.106,0.996,0.028,26,26,25,43,-59,-53,-61
1/12/2021  4:00:00 PM,0.266,2.697,0.025,26,26,25,248,-59,-52,-63.5
1/12/2021  3:00:00 PM,0.136,2.858,0.022,25,26,25,37,-58,-50,-62
